Epoch: 340| It: 0| Loss: 1.910e-02| physLoss: 2.941e-03 | lINITIAL: 2.774e-03 | wLoss: 9.477e-03 | inLoss: 3.489e-03 | outLoss: 4.184e-04 |Time: 0.00s | rTime: 3.435e-02h | LR: 5.000e-03
Epoch: 350| It: 0| Loss: 1.873e-02| physLoss: 3.245e-03 | lINITIAL: 2.174e-03 | wLoss: 8.423e-03 | inLoss: 4.688e-03 | outLoss: 1.980e-04 |Time: 0.00s | rTime: 3.543e-02h | LR: 5.000e-03
Epoch: 360| It: 0| Loss: 1.796e-02| physLoss: 3.178e-03 | lINITIAL: 1.572e-03 | wLoss: 9.934e-03 | inLoss: 3.225e-03 | outLoss: 5.429e-05 |Time: 0.00s | rTime: 3.645e-02h | LR: 5.000e-03
Epoch: 370| It: 0| Loss: 1.772e-02| physLoss: 3.104e-03 | lINITIAL: 1.549e-03 | wLoss: 9.684e-03 | inLoss: 3.278e-03 | outLoss: 1.036e-04 |Time: 0.00s | rTime: 3.739e-02h | LR: 5.000e-03
Epoch: 380| It: 0| Loss: 1.786e-02| physLoss: 2.882e-03 | lINITIAL: 2.649e-03 | wLoss: 8.092e-03 | inLoss: 4.192e-03 | outLoss: 4.107e-05 |Time: 0.00s | rTime: 3.831e-02h | LR: 5.000e-03
Epoch: 390| It: 0| Loss: 1.763e-02| physLoss: 2.450e-03 | lINITIAL: 2.674e-03 | wLoss: 1.017e-02 | inLoss: 2.289e-03 | outLoss: 4.332e-05 |Time: 0.00s | rTime: 3.941e-02h | LR: 5.000e-03
Epoch: 400| It: 0| Loss: 1.763e-02| physLoss: 2.203e-03 | lINITIAL: 3.642e-03 | wLoss: 8.899e-03 | inLoss: 2.522e-03 | outLoss: 3.628e-04 |Time: 0.00s | rTime: 4.042e-02h | LR: 5.000e-03
Epoch: 410| It: 0| Loss: 1.717e-02| physLoss: 2.076e-03 | lINITIAL: 3.509e-03 | wLoss: 9.485e-03 | inLoss: 2.046e-03 | outLoss: 5.165e-05 |Time: 0.00s | rTime: 4.142e-02h | LR: 5.000e-03
Epoch: 420| It: 0| Loss: 1.688e-02| physLoss: 2.309e-03 | lINITIAL: 3.129e-03 | wLoss: 8.623e-03 | inLoss: 2.749e-03 | outLoss: 6.760e-05 |Time: 0.00s | rTime: 4.235e-02h | LR: 5.000e-03
Epoch: 430| It: 0| Loss: 1.685e-02| physLoss: 2.701e-03 | lINITIAL: 2.011e-03 | wLoss: 9.217e-03 | inLoss: 2.704e-03 | outLoss: 2.208e-04 |Time: 0.00s | rTime: 4.338e-02h | LR: 5.000e-03
Epoch: 440| It: 0| Loss: 1.679e-02| physLoss: 3.015e-03 | lINITIAL: 1.695e-03 | wLoss: 9.287e-03 | inLoss: 2.743e-03 | outLoss: 4.833e-05 |Time: 0.00s | rTime: 4.431e-02h | LR: 5.000e-03
Epoch: 450| It: 0| Loss: 1.666e-02| physLoss: 3.173e-03 | lINITIAL: 1.877e-03 | wLoss: 8.333e-03 | inLoss: 3.208e-03 | outLoss: 7.331e-05 |Time: 0.00s | rTime: 4.523e-02h | LR: 5.000e-03
Epoch: 460| It: 0| Loss: 1.640e-02| physLoss: 3.094e-03 | lINITIAL: 2.073e-03 | wLoss: 9.015e-03 | inLoss: 2.184e-03 | outLoss: 3.348e-05 |Time: 0.00s | rTime: 4.616e-02h | LR: 5.000e-03
Epoch: 470| It: 0| Loss: 1.638e-02| physLoss: 2.969e-03 | lINITIAL: 2.589e-03 | wLoss: 8.872e-03 | inLoss: 1.925e-03 | outLoss: 2.260e-05 |Time: 0.00s | rTime: 4.711e-02h | LR: 5.000e-03
Epoch: 480| It: 0| Loss: 1.623e-02| physLoss: 2.929e-03 | lINITIAL: 2.634e-03 | wLoss: 8.298e-03 | inLoss: 2.229e-03 | outLoss: 1.382e-04 |Time: 0.00s | rTime: 4.805e-02h | LR: 5.000e-03
Epoch: 490| It: 0| Loss: 1.603e-02| physLoss: 3.131e-03 | lINITIAL: 2.124e-03 | wLoss: 8.659e-03 | inLoss: 2.057e-03 | outLoss: 5.926e-05 |Time: 0.00s | rTime: 4.898e-02h | LR: 5.000e-03
Epoch: 500| It: 0| Loss: 1.598e-02| physLoss: 3.334e-03 | lINITIAL: 1.849e-03 | wLoss: 8.619e-03 | inLoss: 2.078e-03 | outLoss: 9.851e-05 |Time: 0.00s | rTime: 4.995e-02h | LR: 5.000e-03
Epoch: 510| It: 0| Loss: 1.591e-02| physLoss: 3.447e-03 | lINITIAL: 1.883e-03 | wLoss: 8.669e-03 | inLoss: 1.865e-03 | outLoss: 4.288e-05 |Time: 0.00s | rTime: 5.086e-02h | LR: 5.000e-03
Epoch: 520| It: 0| Loss: 1.597e-02| physLoss: 3.586e-03 | lINITIAL: 2.001e-03 | wLoss: 8.332e-03 | inLoss: 2.007e-03 | outLoss: 4.786e-05 |Time: 0.00s | rTime: 5.179e-02h | LR: 5.000e-03
Epoch: 530| It: 0| Loss: 1.585e-02| physLoss: 3.473e-03 | lINITIAL: 1.843e-03 | wLoss: 8.951e-03 | inLoss: 1.496e-03 | outLoss: 8.838e-05 |Time: 0.00s | rTime: 5.280e-02h | LR: 5.000e-03
Epoch: 540| It: 0| Loss: 1.571e-02| physLoss: 3.362e-03 | lINITIAL: 2.024e-03 | wLoss: 8.420e-03 | inLoss: 1.871e-03 | outLoss: 3.338e-05 |Time: 0.00s | rTime: 5.371e-02h | LR: 5.000e-03
Epoch: 550| It: 0| Loss: 1.576e-02| physLoss: 3.304e-03 | lINITIAL: 2.129e-03 | wLoss: 8.464e-03 | inLoss: 1.838e-03 | outLoss: 2.599e-05 |Time: 0.00s | rTime: 5.470e-02h | LR: 5.000e-03
Epoch: 560| It: 0| Loss: 1.565e-02| physLoss: 3.239e-03 | lINITIAL: 2.129e-03 | wLoss: 8.623e-03 | inLoss: 1.643e-03 | outLoss: 1.401e-05 |Time: 0.00s | rTime: 5.565e-02h | LR: 5.000e-03
Epoch: 570| It: 0| Loss: 1.558e-02| physLoss: 3.337e-03 | lINITIAL: 1.994e-03 | wLoss: 8.691e-03 | inLoss: 1.560e-03 | outLoss: 1.534e-06 |Time: 0.00s | rTime: 5.657e-02h | LR: 5.000e-03
Epoch: 580| It: 0| Loss: 1.562e-02| physLoss: 3.486e-03 | lINITIAL: 1.770e-03 | wLoss: 8.544e-03 | inLoss: 1.778e-03 | outLoss: 4.368e-05 |Time: 0.00s | rTime: 5.757e-02h | LR: 5.000e-03
Epoch: 590| It: 0| Loss: 1.564e-02| physLoss: 3.528e-03 | lINITIAL: 1.559e-03 | wLoss: 8.718e-03 | inLoss: 1.827e-03 | outLoss: 6.099e-06 |Time: 0.00s | rTime: 5.849e-02h | LR: 5.000e-03
